MONKEYmedia Inc
Meeker Equipment Co Inc
MegTec Systems Inc
Mega-Carbon Company 
MegaChips Corporation
MegaMOS Corporation
MegaPhase LLC
Megamet Industries
Megan Health Inc
Megawatt Solar Inc
Meggitt (Orange County) Inc
Megica Corporation
Megit Acquisition Corp
Meidensha Corporation
Meier Diesel Filters Inc
Meissner Filtration Products Inc
Meissner Manufacturing Company Inc
Meissner Mfg Co Inc
Mel Modern Systems Incorporated
Melamine Chemicals Inc
Melard Manufacturing Corp
Melchior-Moore Associates Inc
Meld Technology Inc
Melecular Rebar Design LLC
Melexis NV
Melis Energy
Melitta Inc
Melitta-Werke Bentz & Sohn
Meloy Laboratories Inc
Melrose Products Limited
Meltex Inc
Melton International LLC
Melvin Corporation
Melvin L Black Inc
Membrane Technology & Research Inc
Membrex Incorporated
Memorex Corporation
Memorial Hospital for Cancer and Allied Diseases
Memorial Sloan-Kettering Cancer Center
Memorylink Corporation
Memscap SA
Memtec America Corporation
Memtec Limited
Memtronics Corporation
Menara Networks
Menard Inc
Menard Manufacturing Company 
Menardi-Mikropul LLC
Menardi-Southern Corp
Menasco Inc
Menasha Corporation
Mendel Biotechnology Inc
Menlo Industries
Mental Engineering Inc
Mentor Graphics Corporation
Mentor Worldwide LLC
Menusaver Inc
Mepaco Inc
Mercator Genetics Inc 
Mercator MedSystems Inc
Merced Systems Inc
Merchant & Gould PC
Merck & Co
Merck & Co Inc
Merck & Co Ltd
Merck Biosciences Corporation
Merck Frosst Canada Inc
Merck Patent GmbH
Merck Sharp & Dohme Ltd
Mercury Computer Systems Inc
Mercury Enterprises Inc
Mercury Waste Solutions Inc
Meredian Inc
Mergen Ltd
Merial
Merial Limited
Merichem Company
Meridian Automotive Systems Inc
Meridian Design Inc
Meridian Industries Inc
Meridian Medical Systems LLC
Meridian Research and Development
Merit Electronic Design Co Ltd
Merit Medical Systems Inc
Meritech Inc
Meritor Heavy Vehicle Systems LLC
Meritor Heavy Vehicle Technology LLC
Meritor Light Vehicle Systems-France
Meritor Light Vehicle Technology LLC
Meritor WABCO Vehicle Control Systems
Merk & Co Inc
Merkle-Korff Industries Inc
Merlin Technology Inc
Merlin Technology Limited Liability Company
Merrell Dow Pharmaceuticals Inc
Merrell Pharmaceuticals Inc
Merrick Environmental Technology Inc
Merrimac Industries Inc
Mersive Technologies Inc
Meru Networks
Mesh Comm LLC
Meso Scale Technologies LLC
Meso Scale Technology
MesoSystems Technology Inc
MessagePhone Inc
MessagerPartners 
Messer Griesheim Industries Inc
Messerschmitt-Bolkow-Blohm GmbH
Messier-Dowty Inc
Mesta Electronics Inc
Mesta Machine Company
Met One Inc
Met Tech Inc
Met-Coil Systems Corporation
Met-Pro Systems Inc
Met-Rock LLC
MetaMEMS Corp
Metabolic Pharmaceuticals Limited
Metabolix Inc
Metabolon Inc
Metadigm LLC
Metaflo Technologies Inc
Metal Building Insulation-Southwest Inc
Metal Casting Technology Incorporated
Metal Coatings International Inc
Metal Industries Research & Development Centre
Metal Matrix Cast Composites Inc
Metal Research Corporation
Metal-Era Inc
Metallgesellschaft AG
Metallic Hi Temperature Seal Systems LLC
Metallic Power Inc
Metallized Products Inc
Metallurgical Inc
Metallurgical Industries Inc
Metallurgical International Inc
Metals Recycling Technologies Corp 
Metanetics Corporation
Metaphase Ophthalmic Corp
Metascape LLC
Metasecure Corporation
Metatomix Inc
Metaullics Systems Co LP
Metavana Inc
Metaweb Technologies Inc
Metcal Inc
Metcast Associates Inc
Metco Inc
Metglas Inc
Methane Drainage Ventures
Method Products PBC
Methode Electronics Inc
Methodist Hospital of Indiana Inc
Metna Co
Metrix Instrument Co
Metro Industries Inc
Metro Machinc Corp
Metro Machine Corporation
Metro-Line Industries Inc
MetroLaser Inc
MetroSol Inc
Metrologic Instruments Inc
Metrologix Corporation
Metropolitan Center for High Technology
Metropolitan Industries Inc
Metropolitan Wire Corporation
Metrospec Technology LLC
Metso Paper Inc
Mettler-Toledo GmbH
Mettler-Toledo Inc 
Meurer Research Inc
Mexico Plastic Company
Meyco Products Inc
Meyer Dairy Products Co
Meyer Label Co Inc
Meyer Nutriceuticals LLC
Meyer Sound Laboratories Incorporated
Meyer Tool Inc
MiCell Technologies Inc
Miami University
Miasole
Micasa Trading Corporation
Michael Angelo Designs LLC
Michael Durian Inc
Michael Ebert
Michael Foods Inc
Michael Markels Jr Revocable Trust
Michael Reidy
Michaud Partners LLP
Michelin Recherche et Technique SA
Michelsen Packaging Company
Michigan Aerospace Corporation
Michigan Biotechnology Institute
Michigan Consolidated Gas Company
Michigan Disposal Inc
Michigan Molecular Institute
Michigan Standard Alloys
Michigan State University
Michigan State University Board of Trustees
Michigan State University Board of Trustees Operating Michigan State University
Michigan Technological University
Mico Incorporated
Micrel Inc
Micrel Incorporated
Micro Beef Technologies Ltd
Micro Contacts Inc
Micro Control Company
Micro Control Systems Inc
Micro Cooling Concepts Inc
Micro Fab Technologies Inc 
Micro Flo Company
Micro Glide Inc
Micro Green Polymers Inc
Micro Linear Corporation
Micro Mobio Corporation
Micro Motion Inc
Micro Pneumatic Logic Inc
Micro Power Electronics Inc
Micro Power Systems
Micro Power Systems Inc
Micro Processing Technology Inc
Micro Substrates Inc
Micro Technology Inc
Micro Technology Partners
Micro Therapeutics Inc
Micro USA Inc
Micro Vesicular Systems Inc
Micro-Power Computer Systems
Micro-Pulse Research and Development
Micro-Star Int'l Co Ltd
Micro-Technology Licensing Corporation
MicroActive Corp
MicroCHIPS Inc
MicroClock Incorporated 
MicroCoating Technologies Inc
MicroContinuum Inc
MicroFab Technologies Inc
MicroGREEN Polymers Inc
MicroGlo LLC
MicroLink Devices Inc
MicroOptix 
MicroProbe Corporation
MicroSepTic Inc
MicroSterile Safe Corporation 
MicroStrategy Incorporated
MicroUnity Systems Engineering Inc
MicroVention Inc
Microban Products Company
Microbar Incorporated
Microbia Inc
Microbial Aquatic Treatment
Microbial and Aquatic Treatment Systems
Microbiological Applications Inc
Microbonds Inc
Microchip Technology Incorporated
Microchips Biotech Inc
Microcide Pharmaceuticals Inc
Microcosm Inc
Microdata Corporation
Microdose Technologies Inc
Microdot Inc
Microelectronics Center of North Carolina
Microelectronics Computer & Technology
Microelectronics and Computer Technology Corporation
Microfabrica Inc
Microfibres Inc
Microgenics Corporation
Microlife Genetics
Microlife Technics Inc
Microlin LC
Microlin LLC
Micrologic Inc
Microluminetics
Micromag Corporation
Micromass UK Limited
Micron Corporation
Micron Display Technology Inc 
Micron Electronics Inc
Micron Inc
Micron Optics Inc
Micron Quantum Devices Inc 
Micron Semiconductor Inc
Micron Separations Inc
Micron Technology Inc
MicronBTechnology Inc
Micronas USA Inc
Micronetics Wireless Inc
Micronic Filtration Inc
Micronic Laser Systems AB
Micronics
Micronics LLC
Microphonics Inc
Micropolis Corporation
Micropure Filtration Inc
Micropyretics Heaters International Inc
Microscan Systems Inc
Microscience International Corp
Microseismic Inc
Microsemi Corp
Microsemi Corporation
Microsemi Inc
Microsemi Semiconductor (US) Inc
Microsemi SoC Corporation
Microsemi Storage Solutions (US) Inc
Microsensor Technology Inc
Microsensors Inc
Microsoft
Microsoft Corp
Microsoft Corporation
Microsource Inc
Microstrain Inc
Microsun Technologies LLC
Microsurge Inc
Microtek Medical Inc
Microtork Inc
Microtouch Systems Inc 
Microtrac Inc
Microtune (San Diego) Inc
Microtune (Texas) LP
Microtune Inc 
Microvasive Inc
Microvast Inc
Microvision Inc
Microwave Medical Systems Inc 
Microwave Modules & Devices Inc
Microwave Power Inc 
Microwave Research Corp
Mid America Automotive Products Inc
Mid-Florida Pools and Repair Inc
Mid-South Industries Inc
Mid-West Conveyor Inc
MidAmerica Recycling Co
MidAmerican Energy Holdings Co
Midcom Inc
Midcon Pipeline Equipment Co
Middleby Marshall Inc
Midland Brake Inc
Midland Manufacturing Corp
Midland Medical Device Holdings LLC
Midland-Ross Corporation
Midmac Systems
Midrex Technologies Inc
Midtronics Inc
Midway Amusement Games LLC
Midway Fishing Tool Co
Midwest Biochemical Corporation
Midwest Canvas Corporation
Midwest Conservation Specialties Inc
Midwest Grain Products 
Midwest Instrument Co Inc
Midwest Oilseeds Inc
Midwest Printed Circuits Services Inc
Midwest Quality Gloves Inc
Midwest Refrigerants LLC
Midwest Research Institute 
Midwestern IP LLC
Migenix Corp
Mighty Mite Controls Inc
Miguel Albert Capote
Mikkelsen Graphic Engineering
Mikohn Gaming Corporation
Mikro Systems Inc
Mikron Infrared Inc
Mikuni Corporation
Mile High Equipment Company
Miles Inc
Miles Laboratories Inc
Miles Willard Technologies LLP
Milestone AV Technologies LLC
Milestone Scientific Inc
Milgard Manufacturing Inc
Milieu Systems Corp
Military Wraps Research and Development Inc
Milkhaus Laboratory Inc
Mill Masters Inc 
Mill-Max MFg Corp
Millar Instruments Inc
Millen Industries Inc
Millenium Inorganic Chemicals Inc
Millenium Research Group Ltd
Millennial Research Corporation
Millennium Cell Inc
Millennium Custom Coatings Inc
Millennium Inorganic Chemicals Inc
Millennium Motor Company
Millennium Pharmaceuticals Inc
Miller Brewing Company
Miller Chemical & Fertilizer Corporation
Miller Electric Mfg Co
Miller Electronics
Miller Industries Towing Equipment Inc
Miller Waste Mills
MillerCoors LLC
MilliSensor Systems + Actuators
Milliken & Company
Milliken Research Corporation
Millipore Corporation
Millipore Investment Holdings Inc
Millmaster Onyx Corporation
Millmaster Onyx Group Inc
Milow Ltd
Milprint Inc
Milsco Manufacturing Company
Miltec Corporation
Milton Bradley International Inc
Milton Roy Company
Milwaukee Electric Tool Corporation
Mimosa Networks Inc
Mimosa Systems Inc
Mind Head LLC
Mind Path Technologies Inc 
MindAgent LLC
Mindflow Technologies Inc
Mindspeed Technologies Inc
Mine Safety Appliances Company
Mine-RG Inc
Minebea Co Ltd
Mineral Processing Systems Inc
Minerals Processing Techniques Inc
Minerals Technologies Inc
Minerec Corporation
Minergy Corp
Minerva Biotechnologies Corporation
Minerva Systems
MiniPumps LLC
Minigrip Inc
Minimed Inc
Minimizim LLC
Minitech Co
Minitube of America Inc
Minnesota Mining & Manufacturing Co
Minnesota Mining and Manufacturing Company
Minnesota Thermal Science LLC
Minnesota Valley Engineering
Minntech Corporation
Minox Corporation USA
Minrad Inc
Mintera Corporation
Minu Telesystems LLC
MinusNine Technologies Inc
Minuteman International Inc
Miply Equipment Inc
Mips Computer Systems Inc
MirTech Inc
Mira-Pak Inc
Miracle Marketing Corporation
Miraculous Motors Corporation
Miradia Inc
Mirari Biosciences Inc
Miriam Collins-Palm Beach Laboratories Co
Mirion Technologies Inc
Mirus Bio Corporation
Mirus Bio LLC
Misder LLC
Misonix Incorporated
