ACACIA RESEARCH GROUP LLC,acaciaresearch.com/
Daylight Solutions,daylightsolutions.com/
Cardiva Medical,cardivamedical.com/
Bigelow Aerospace,bigelowaerospace.com/
Genomatica,genomatica.com/
Everspin Technologies,everspin.com/
TRI ALPHA ENERGY,tae.com/
Cook Biotech Incorporated,cookbiotech.com/
Innovation Hammer,ihammerllc.com/
Paratek Pharmaceuticals,paratekpharma.com/
Incept LLC,inceptresults.com/
Green Solar Transportation,greensolartransport.com/
Algenol Biotech LLC,algenol.com/
Intermolecular,intermolecular.com/
Lion Copolymer Geismar,lionelastomers.com/
SolAero Technologies Corp.,solaerotech.com
Egenera,egenera.com/
Hynix Semiconductor Inc.,skhynix.com/eng/index.jsp
Plasma-Therm,plasmatherm.com/
VIOLIN MEMORY,violinsystems.com/
Materia,materia-inc.com/
Casio Computer Co.,world.casio.com/
CUMMINS FILTRATION IP,cumminsfiltration.com/
DiscoveRx Corporation,discoverx.com/home
Epizyme,epizyme.com/
Scientific Design Company,scidesign.com/
ASM America,asm.com/
Valicor,trucent.com/
DHPC TECHNOLOGIES,dhpctech.com/
AGFA-GEVAERT N.V.,agfa.com/corporate/
Bridgelux,bridgelux.com/
Astex Pharmaceuticals,astx.com/
Interface Performance Materials,interfacematerials.com/products/
Evri,everi.com/
Fuji Electric Co.,fujielectric.com/
Kajima Corporation,kajimausa.com/
Imperial Innovations Limited,imperialinnovations.co.uk/
Nanosys,nanosysinc.com/
Transilwrap Company,transcendia.com/
Sysmex Corporation,sysmex.com/Pages/default.aspx
IDEX Health & Science LLC,idex-hs.com/
KYOCERA DOCUMENT SOLUTIONS INC.,kyoceradocumentsolutions.com/
Access Business Group International LLC,accessbusinessgroup.com/
Agena Bioscience,agenabio.com/
Fujitsu Semiconductor Limited,fujitsu.com/jp/group/fsl/en/
Moxtek,moxtek.com/
Kaneka Corporation,kaneka.co.jp/en/
Turtle Beach Corporation,turtlebeach.com/
Wyatt Technology Corporation,wyatt.com/
Wine.com,wine.com/
Coleman Cable,colemancables.com/
Zephyr Energy Systems LLC,zephyrenergy.com/
Kobe Steel,kobelco.co.jp/english/
Singulex,singulexclarity.eu/
Aerogen,aerogen.com/
D-Wave Systems Inc.,dwavesys.com/
Synthetic Genomics,syntheticgenomics.com/
Midrex Technologies,midrex.com/
Newlans,newlans.com/
MonoSol,monosol.com/
Kulite Semiconductor Products,kulite.com/
Helios Focus LLC,heliosfocus.com/
Complete Genomics,completegenomics.com/
Codexis,codexis.com/
Adhesives Research,adhesivesresearch.com/
L-3 Communications Cincinnati Electronics Corporation,cinele.com/
GlassPoint Solar,glasspoint.com/
Teledyne Scientific & Imaging,teledyne-si.com/
Biocare Medical,biocare.net/
Kansai Paint Co.,kansai.com/
Furukawa Electric Co.,furukawa.co.jp/en/
Lextar Electronics Corp.,lextar.com/?sn=32&lang=en-US
DuPont Teijin Films U.S. Limited Partnership,usa.dupontteijinfilms.com/
Rohm and Haas Electronic Materials LLC,dowelectronicmaterials.com/
McElroy Manufacturing,mcelroy.com/
Sequenom,sequenom.com/
Hon Hai Precision Industry Co.,foxconn.com/
Newport Corporation,newport.com/
Abbott Molecular Inc.,molecular.abbott/
Abbott Point of Care Inc.,pointofcare.abbott/us/en/home
Soraa,soraa.com/
Soraa Laser Diode,soraalaser.com/
Applied Optoelectronics,ao-inc.com/
Bend Research,capsugel.com/locations/bend-oregon-usa
E. I. du Pont de Nemours and Company,dupont.com/
E.I. du Pont de Nemours and Company,dupont.com/
Texas Research International,tri-intl.com/
Supremex Inc.,supremex.com/
The Samuel Roberts Noble Foundation,noble.org/
Ajinomoto Althea,ajibio-pharma.com/
Hyundai Motor Company,hyundaiusa.com/
Mitsubishi Polyester Film,m-petfilm.com/
Sangamo BioSciences,sangamo.com/
Lovelace Respiratory Research Institute,lrri.org/
George Mason Research Foundation,www2.gmu.edu/research
Humanetics Corporation,humaneticsatd.com/
Veracyte,veracyte.com/
Columbia Insurance Company,colinsgrp.com/site/
ASM IP HOLDING B.V.,asm.com/
ASM IP Holdings LLC,asm.com/
AgroFresh Inc.,agrofresh.com/
INTEVAC,intevac.com/
Hitachi Metals,hitachimetals.com/
Sungevity Inc.,sungevity.com/
Tigo Energy,tigoenergy.com/
Adaptive Biotechnologies Corp.,adaptivebiotech.com/
Halliburton Energy Services,halliburton.com/en-US/default.html
Headway Technologies,headway.com/
Magnachip Semiconductor,magnachip.com/
Yageo Corporation,yageo.com/portal/product/product.jsp
Cross Match Technologies,crossmatch.com/
Applied Nanostructures,appnano.com/
BASF Coatings GmbH,basf-coatings.com/global/ecweb/en/
Grain Processing Corporation,grainprocessing.com/
Luna Innovations Incorporated,lunainc.com/
Xerox Corporation,xerox.com/
FutureWei Technologies,huawei.com/us/
DECA Technologies Inc.,decatechnologies.com/
Canon,usa.canon.com/internet/portal/us/home
Alpha and Omega Semiconductor Incorporated,aosmd.com/
Samsung Electronics Co.,samsung.com/us/
Inventus Holdings,inventusholdings.com/
Harris Corporation,harris.com/
SK Hynix Inc.,skhynix.com/eng/index.jsp
Electronic Warfare Associates,ewa.com/
Brewer Science Inc.,brewerscience.com/
Proterra Inc.,proterra.com/
mVerify Corporation,numverify.com/
ACell,acell.com/
Saint-Gobain Adfors Canada,adfors.com/us/
CARBO Ceramics Inc.,carboceramics.com/about/about-carbo
Zygo Corporation,zygo.com/
KOLON INDUSTRIES,kolonindustries.com/eng/main.asp
Relypsa,relypsa.com/
Toray Plastics (America),toraytpa.com/
nLIGHT,nlight.net/
nLIGHT Photonics Corporation,nlight.net/
FUJIFILM Dimatix,fujifilmusa.com/products/industrial_inkjet_printheads/index.html
Uni-Charm Corporation,unicharm.co.jp/english/index.html
FPInnovations,fpinnovations.ca/
Kerr Corporation,kerrdental.com/
Rockwell Automation Technologies,rockwellautomation.com/site-selection.html
Sarepta Therapeutics,sarepta.com/
Pacific Biosciences of California,pacb.com/
Sima Therapeutics,semma-tx.com/
Universal Leaf Tobacco Co.,universalcorp.com/
Babcock Power Services,babcockpower.com/
Fike Corporation,fike.com/
Carbon3D,carbon3d.com/
Chromalox,chromalox.com/
Meyer Tool,meyertool.com/
Thoratec Corporation,thoratec.com/
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,csem.ch/
Piksel,piksel.com/
PDF Solutions,pdf.com
Vizio Inc.,vizio.com/
Amicus Therapeutics,amicusrx.com/
HRL Laboratories,hrl.com/
New England Biolabs,neb.com/
Praxair Technology,praxair.com/
Praxair S.T. Technology,praxair.com/
Shin-Etsu Chemical Co.,shinetsu.co.jp/en/
Unifrax I LLC,unifrax.com/
EXOS LLC,teamexos.com/
Medicis Pharmaceutical Corporation,medicis.com/
AG ENERGY SOLUTIONS,ag.energy/
Richtek Technology Corporation,richtek.com/
VERILY LIFE SCIENCES LLC,verily.com/
