firm_name,url,is_about,default_to_home
22nd Century Limited,http://www.xxiicentury.com/history/,1.0,0
22nd Century Limited,http://www.xxiicentury.com/our-management/,0.0,0
22nd Century Limited,http://www.xxiicentury.com/,1.0,0
22nd Century Limited,http://www.xxiicentury.com/profile/,1.0,0
ABB AB,https://new.abb.com/investorrelations,0.0,0
ABB AB,https://new.abb.com/cpm,0.0,0
ABB AB,https://new.abb.com/about/supplying,0.0,0
ABB AB,https://new.abb.com/channel-partners,0.0,0
ABB AB,https://new.abb.com/about/abb-in-brief/group-structure/board-of-directors,0.0,0
ABB AB,https://new.abb.com/service/lifecycle-management,0.0,0
ABB AB,https://new.abb.com/network-management,0.0,0
ABB AB,https://new.abb.com/news/detail/10330/abb-expands-partnerships-at-china-international-import-expo,0.0,0
ABB AB,https://new.abb.com/network-management/service,0.0,0
ABB AB,https://new.abb.com/about/technology,0.0,0
ABB AB,https://new.abb.com/about/abb-in-brief/group-structure/executive-committee,0.0,0
ABB AB,https://new.abb.com/investorrelations/corporate-governance/board-and-executive-committee-shareholdings-and-dealings,0.0,0
ABB AB,https://new.abb.com/about/integrity,1.0,0
ABB AB,https://new.abb.com/about/abb-in-brief,1.0,0
ABB AB,https://new.abb.com/about,1.0,0
ABB AB,https://new.abb.com/about/corporate-governance,0.0,0
ABB AB,https://new.abb.com,0.0,0
AC,http://acinter.com/,0.0,0
AC,http://acinter.com/aboutus.htm,1.0,0
ACUCELA,https://www.acucela.com/company/information/index.html,0.0,0
ACUCELA,https://www.acucela.com/company/index.html,1.0,0
ACUCELA,https://www.acucela.com/,0.0,0
ACell,https://acell.com/about-us/,1.0,0
ACell,https://acell.com/leadership-team/,0.0,0
ACell,https://acell.com/,0.0,0
ADASA,https://adasa.com/pages/about-us,1.0,0
ADASA,https://adasa.com/,0.0,0
ADMA Products,https://www.admaproducts.com/?_escaped_fragment_=,1.0,0
ADVANCED CERAMIC FIBERS,http://acfibers.com/index.html,1.0,0
ADVANCED INNOVATION CENTER,http://aicchile.com/en/,1.0,0
ADVANCED INNOVATION CENTER,http://aicchile.com/en/nosotros/,0.0,0
AFMODEL,https://afmodels.com/about-us/,1.0,0
AFMODEL,https://afmodels.com/about-become-a-model/,1.0,0
AFMODEL,https://afmodels.com/,0.0,0
AG ENERGY SOLUTIONS,https://ag.energy/,0.0,0
AG ENERGY SOLUTIONS,https://ag.energy/about-2/,1.0,0
AG ENERGY SOLUTIONS,https://ag.energy/about/,1.0,0
AGC Flat Glass North America,https://www.agcglass.com/,0.0,0
AGC Flat Glass North America,https://www.agcglass.com/contact,0.0,0
AGC Flat Glass North America,https://www.agcglass.com/service-without-limits,0.0,0
AGC Flat Glass North America,https://www.agcglass.com/corporate-information,0.0,0
AIR PRODUCTS AND CHEMICALS,http://www.airproducts.com/,1.0,0
ALSTOM Technology,https://www.alstom.com/,1.0,1
ALSTOM Technology,https://www.alstom.com/company/preferred-partner-mobility-solutions,0.0,0
ALSTOM Technology,https://www.alstom.com/company/innovation-drives-our-growth,0.0,0
ALSTOM Technology,https://www.alstom.com/company/corporate-governance,0.0,0
ALSTOM Technology,https://www.alstom.com/about-cookies,0.0,0
ALSTOM Technology,https://www.alstom.com/fulfilling-our-customers-expectations-best-and-most-committed-partners,0.0,0
ALSTOM Technology,https://www.alstom.com/train-manufacturer-sustainable-mobility-maker,0.0,0
ALSTOM Technology,https://www.alstom.com/finance/financial-share-information-about-alstom,0.0,0
