firm,lookup_firm,firm_length,name_clnd,name_length,manual_fix,hit_url,hit_url_length,rank,matches,public,acquired_merged,Votes,Group,nano,green,synbio,count_all_ind,max_emps,size_state
Invensas Corporation,Invensas,8,Invensas,8,,invensas.com/,25,1,1,0,0,5,683,1,0,0,1,835,FirmSize.LARGE_FIRM
Transitions Optical,Transitions Optical,19,Transitions Lenses | Light Intelligent Photochromic Lenses,58,,transitions.com/en-us/,34,1,1,0,0,5,1371,0,0,1,1,856,FirmSize.LARGE_FIRM
Integrated DNA Technologies,Integrated DNA Technologies,27,Integrated DNA Technologies - Official Site,43,,idtdna.com/,23,1,3,0,0,5,668,0,0,1,1,904,FirmSize.LARGE_FIRM
Novellus Systems,Novellus Systems,16,Lam Research - Official Site,28,,lamresearch.com/,28,1,0,0,0,5,929,1,0,0,1,9400,FirmSize.LARGE_FIRM
SunEdison,SunEdison,9,SunEdison - Official Site,25,,sunedison.com/,25,1,1,0,1,5,1264,0,1,0,1,7280,FirmSize.LARGE_FIRM
OFS Fitel,OFS Fitel,9,OFS - Official Site,19,,ofsoptics.com/,26,1,1,0,0,5,942,1,0,0,1,924,FirmSize.LARGE_FIRM
Power Integrations,Power Integrations,18,Power Integrations | Home,25,,power.com/,22,1,2,0,0,5,1026,1,0,0,1,978,FirmSize.LARGE_FIRM
OmniVision Technologies,OmniVision Technologies,23,OVT - Official Site,19,,ovt.com/,20,1,0,0,0,5,952,1,0,0,1,2176,FirmSize.LARGE_FIRM
Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited,37,Takeda Pharmaceutical Company - Official Site,45,,takeda.com/,23,1,3,0,0,5,1308,1,0,1,2,17791,FirmSize.LARGE_FIRM
POET Research,POET Research,13,POET Research Center - POET,27,,poet.com/scotland,29,1,2,0,0,5,973,0,1,0,1,1034,FirmSize.LARGE_FIRM
SunEdison Semiconductor Limited,SunEdison Semiconductor Limited,31,Home - GlobalWafers,19,,gw-semi.com/,24,1,0,0,0,5,1265,1,0,0,1,4400,FirmSize.LARGE_FIRM
PQ CORPORATION,PQ,14,PQ Corporation - Home,21,,pqcorp.com/,22,1,2,0,0,5,977,1,0,0,1,998,FirmSize.LARGE_FIRM
Genomic Health,Genomic Health,14,Genomic Health - Official Site,30,,genomichealth.com/,29,1,2,0,0,5,553,0,0,1,1,992,FirmSize.LARGE_FIRM
AccuRay Corporation,AccuRay,7,Accuray Inc - Official Site,27,,accuray.com/,24,1,1,0,0,5,57,0,1,0,1,988,FirmSize.LARGE_FIRM
Lattice Semiconductor Corporation,Lattice Semiconductor,21,Home - Lattice Semiconductor,28,,latticesemi.com/,27,1,2,0,0,5,758,1,0,0,1,1004,FirmSize.LARGE_FIRM
GCP Applied Technologies Inc.,GCP Applied Technologies,24,The GCP Experience - GCP Applied Technologies,45,,gcpat.com/en,20,1,3,0,0,5,515,0,1,0,1,2500,FirmSize.LARGE_FIRM
SYNTHOMER USA LLC,SYNTHOMER USA,13,Synthomer - Official Site,25,,synthomer.com/,25,1,1,0,0,5,1137,1,0,0,1,2789,FirmSize.LARGE_FIRM
LGS Innovations LLC,LGS Innovations,15,LGS Innovations - Official Site,31,,lgsinnovations.com/,31,1,2,0,0,5,750,1,0,0,1,1053,FirmSize.LARGE_FIRM
Global Eagle Entertainment Inc.,Global Eagle Entertainment,26,Global Eagle - Official Site,28,,globaleagle.com/,27,1,2,0,0,5,564,0,0,1,1,754,FirmSize.LARGE_FIRM
Rohm and Haas Chemicals LLC,Rohm and Haas Chemicals,23,Dow Chemical Company - Official Site,36,,dow.com/en-us,25,1,0,0,0,5,1094,1,0,0,1,46200,FirmSize.LARGE_FIRM
Rohm and Haas Company,Rohm and Haas Company,21,Dow Chemical Company - Official Site,36,,dow.com/en-us,25,1,1,0,0,5,1095,1,0,1,2,46200,FirmSize.LARGE_FIRM
RF Micro Devices,RF Micro Devices,16,Qorvo - Official Site,21,,qorvo.com/,22,1,0,0,0,5,1058,1,0,0,1,3500,FirmSize.LARGE_FIRM
Watlow Electric Manufacturing Company,Watlow Electric Manufacturing Company,37,Watlow - Official Site,22,,watlow.com/,22,1,1,0,0,5,1442,1,0,0,1,1148,FirmSize.LARGE_FIRM
Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,23,Alnylam Pharmaceuticals - Official Site,39,,alnylam.com/,23,1,2,0,0,5,97,1,0,1,2,1198,FirmSize.LARGE_FIRM
Sumitomo Electric Industries,Sumitomo Electric Industries,28,Sumitomo Electric Industries - Official Site,44,,global-sei.com/,22,1,3,0,0,5,1258,1,0,1,2,240309,FirmSize.LARGE_FIRM
Cavium,Cavium,6,Cavium - Official Site,22,,cavium.com/,19,1,1,0,0,5,295,1,0,0,1,1373,FirmSize.LARGE_FIRM
Lumentum Operations LLC,Lumentum Operations,19,Lumentum Operations LLC,23,,lumentum.com/en,27,1,2,0,0,5,779,1,1,0,2,2494,FirmSize.LARGE_FIRM
Bridgestone Corporation,Bridgestone,11,Bridgestone - Official Site,27,,bridgestone.com/,28,1,1,0,0,5,244,1,1,1,3,142669,FirmSize.LARGE_FIRM
BAXALTA INCORPORATED,BAXALTA,7,Shire - Official Site,21,,shire.com/,22,1,0,0,0,5,180,0,0,1,1,17000,FirmSize.LARGE_FIRM
CP Kelco U.S.,CP Kelco US,11,CP Kelco - Official Site,24,,cpkelco.com/,24,1,2,0,0,5,267,0,0,1,1,1249,FirmSize.LARGE_FIRM
CP KELCO APS,CP KELCO APS,12,CP Kelco - Official Site,24,,cpkelco.com/,24,1,2,0,0,5,266,0,1,0,1,1249,FirmSize.LARGE_FIRM
Pentair Thermal Management LLC,Pentair Thermal Management,26,Pentair Thermal Management - Official Site,42,,nventthermal.com/,29,1,3,0,0,5,993,1,0,0,1,1246,FirmSize.LARGE_FIRM
Ivoclar Vivadent AG,Ivoclar Vivadent AG,19,Ivoclar Vivadent - Official Site,32,,ivoclarvivadent.com/,31,1,2,0,0,5,688,1,0,0,1,1269,FirmSize.LARGE_FIRM
GOJO Industries,GOJO Industries,15,Gojo Industries - Official Site,31,,gojo.com/,16,1,2,0,0,5,531,0,1,0,1,1310,FirmSize.LARGE_FIRM
Greatbatch Ltd.,Greatbatch,10,Medical Device Design & Manufacturing & Outsourcing | Integer,61,,integer.net/,20,1,0,0,0,5,577,0,0,1,1,1246,FirmSize.LARGE_FIRM
SUMITOMO WIRING SYSTEMS,SUMITOMO WIRING SYSTEMS,23,"Sumitomo Wiring System, Ltd.",28,,sws.co.jp/en/,25,1,2,0,0,5,1135,1,0,0,1,29574,FirmSize.LARGE_FIRM
Globus Medical,Globus Medical,14,Globus Medical - Official Site,30,,globusmedical.com/,29,1,2,0,0,5,568,0,0,1,1,1425,FirmSize.LARGE_FIRM
Coriant Advanced Technology,Coriant Advanced Technology,27,Coriant - Official Site,23,,coriant.com/,24,1,1,0,1,5,345,1,0,0,1,1255,FirmSize.LARGE_FIRM
Oculus VR,Oculus VR,9,Oculus VR - Official Site,25,,oculus.com/,23,1,2,0,0,5,948,1,0,0,1,1377,FirmSize.LARGE_FIRM
Nokia Corporation,Nokia,5,Nokia Corporation,17,,nokia.com/,21,1,1,0,0,5,919,1,0,0,1,172406,FirmSize.LARGE_FIRM
Stratasys,Stratasys,9,Stratasys - Official Site,25,,stratasys.com/,25,1,1,0,0,5,1253,1,0,0,1,1440,FirmSize.LARGE_FIRM
EchoStar Technologies LLC,EchoStar Technologies,21,EchoStar - Official Site,24,,echostar.com/,25,1,1,1,0,5,436,0,1,0,1,2050,FirmSize.LARGE_FIRM
Atotech Deutschland GmbH,Atotech Deutschland,19,Atotech - Official Site,23,,atotech.com/,24,1,1,0,0,5,154,1,1,0,2,1666,FirmSize.LARGE_FIRM
SICPA Holding SA,SICPA Holding SA,16,SICPA - Official Site,21,,sicpa.com/,22,1,1,0,0,5,1119,1,0,0,1,1652,FirmSize.LARGE_FIRM
Kodak Alaris Inc.,Kodak Alaris,12,Home | Kodak Alaris,19,,kodakalaris.com/,28,1,2,0,0,5,737,1,0,0,1,1683,FirmSize.LARGE_FIRM
SRG Global,SRG Global,10,SRG Global - Official Site,26,,srgglobal.com/,25,1,2,0,0,5,1130,0,0,1,1,10700,FirmSize.LARGE_FIRM
Henkel AG & Co. KGaA,Henkel AG & Co KGaA,19,Henkel - Official Site,22,,henkel.com/,23,1,1,0,0,5,608,1,1,1,3,54996,FirmSize.LARGE_FIRM
Adtran,Adtran,6,ADTRAN - Official Site,22,,adtran.com/,22,1,1,0,0,5,67,1,0,0,1,2060,FirmSize.LARGE_FIRM
Integrated Device Technology,Integrated Device Technology,28,"Integrated Device Technology, Inc. (IDT)",40,,idt.com/,20,1,3,0,0,5,669,1,0,0,1,1936,FirmSize.LARGE_FIRM
Bell Helicopter Textron Inc.,Bell Helicopter Textron,23,Bell - Home,11,,bellflight.com/,22,1,1,1,0,5,209,1,0,0,1,2500,FirmSize.LARGE_FIRM
Alcatel Lucent,Alcatel Lucent,14,ALE Home | Alcatel-Lucent Enterprise,36,,al-enterprise.com/,30,1,2,0,0,5,87,0,1,0,1,2087,FirmSize.LARGE_FIRM
Allison Transmission,Allison Transmission,20,Allison Transmission - Official Site,36,,allisontransmission.com/,32,1,2,1,0,5,96,1,0,0,1,2600,FirmSize.LARGE_FIRM
Silicon Storage Technology,Silicon Storage Technology,26,SST - Official Site,19,,sst.com/,15,1,0,1,0,5,1203,1,0,0,1,2062,FirmSize.LARGE_FIRM
Fujitsu Limited,Fujitsu Limited,15,Fujitsu - Official Site,23,,fujitsu.com/global/,30,1,1,0,0,5,510,1,1,0,2,140000,FirmSize.LARGE_FIRM
Omron Corporation,Omron,5,Omron - Official Site,21,,omron.com/,22,1,1,0,0,5,953,1,1,1,3,36518,FirmSize.LARGE_FIRM
Nordson Corporation,Nordson,7,Nordson - Official Site,23,,nordson.com/,23,1,1,0,0,5,923,0,0,1,1,6000,FirmSize.LARGE_FIRM
Southwest Research Institute,Southwest Research Institute,28,Southwest Research Institute,28,,swri.org/,21,1,3,0,0,5,1244,1,0,0,1,2683,FirmSize.LARGE_FIRM
Pixar,Pixar,5,Pixar - Official Site,21,,pixar.com/,22,1,1,0,0,5,1013,1,0,0,1,2168,FirmSize.LARGE_FIRM
Biosense Webster (Israel) Ltd.,Biosense Webster (Israel),25,"Biosense Webster, Inc. - Defining the Field of ...",50,,biosensewebster.com/,32,1,2,0,0,5,224,1,0,0,1,2294,FirmSize.LARGE_FIRM
FEI Company,FEI Company,11,WELCOME TO THERMO FISHER SCIENTIFIC - FEI Company,49,,fei.com/careers/,28,1,2,0,0,5,477,1,0,1,2,2800,FirmSize.LARGE_FIRM
Tokyo Electron Limited,Tokyo Electron Limited,22,Tokyo Electron Ltd.,19,,tel.com/,20,1,2,0,0,5,1359,1,1,0,2,11946,FirmSize.LARGE_FIRM
Finisar Corporation,Finisar,7,Finisar - Official Site,23,,finisar.com/,24,1,1,0,0,5,498,1,0,0,1,13000,FirmSize.LARGE_FIRM
MERCK SHARP & DOHME CORP.,MERCK SHARP & DOHME CORP,24,Merck.com | Homepage,20,,merck.com/index.html,31,1,1,0,0,5,790,0,0,1,1,13987,FirmSize.LARGE_FIRM
Bostik,Bostik,6,Bostik USA Construction Adhesives Industrial Adhesives ...,58,,bostik.com/us/,26,1,1,1,0,5,238,0,0,1,1,2950,FirmSize.LARGE_FIRM
Fuji Xerox Co.,Fuji Xerox Co,13,"Home FUJI XEROX CO.,LTD.",24,,fujixerox.com/eng,29,1,3,0,0,5,509,1,0,0,1,8023,FirmSize.LARGE_FIRM
O.B.I. Inc.,OBI,3,Oklahoma Blood Institute,24,,obi.org/,16,1,0,0,0,5,940,0,1,0,1,42000,FirmSize.LARGE_FIRM
Johns Manville,Johns Manville,14,Johns Manville,14,,jm.com/,19,1,2,0,0,5,698,1,0,0,1,5083,FirmSize.LARGE_FIRM
GENCO SCIENCES LLC,GENCO SCIENCES,14,Vape Pens & Portable Vaporizers. Official Site of G Pen ...,59,,gpen.com/,21,1,0,0,0,5,521,1,0,0,1,2571,FirmSize.LARGE_FIRM
Certain-teed Corporation,Certain-teed,12,CertainTeed - Official Site,27,,certainteed.com/,28,1,2,0,0,5,304,1,1,0,2,2634,FirmSize.LARGE_FIRM
OTSUKA PHARMACEUTICAL CO.,OTSUKA PHARMACEUTICAL CO,24,"Otsuka Pharmaceutical Co., Ltd.",31,,otsuka.co.jp/en/,28,1,3,0,0,5,946,0,0,1,1,2648,FirmSize.LARGE_FIRM
Entegris,Entegris,8,Entegris - Official Site,24,,entegris.com/,25,1,1,0,0,5,459,1,0,0,1,3500,FirmSize.LARGE_FIRM
Infinera Corporation,Infinera,8,Infinera - Official Site,24,,infinera.com/,25,1,1,0,0,5,662,1,0,0,1,2145,FirmSize.LARGE_FIRM
Eisai Co.,Eisai Co,8,"Eisai Co., Ltd.",15,,eisai.com/index.html,32,1,2,0,0,5,441,0,1,0,1,10438,FirmSize.LARGE_FIRM
SunRun,SunRun,6,Sunrun Solar - Official Site,28,,sunrun.com/,23,1,1,0,0,5,1268,0,1,0,1,2722,FirmSize.LARGE_FIRM
Sunrun South LLC,Sunrun South,12,Sunrun Solar - Official Site,28,,sunrun.com/,23,1,1,0,0,5,1273,0,1,0,1,2722,FirmSize.LARGE_FIRM
Evoqua Water Technologies LLC,Evoqua Water Technologies,25,Evoqua Water Technologies,25,,evoqua.com/,22,1,3,0,0,5,468,1,0,0,1,2759,FirmSize.LARGE_FIRM
Kia Motors Corporation ,Kia Motors,10,"Cars, SUVs, Hybrids, Minivans & Crossovers | Kia",48,,kia.com/us/en/home,30,1,1,0,0,5,729,1,0,0,1,22346,FirmSize.LARGE_FIRM
Kemira OY,Kemira OY,9,Kemira - Official Site,22,,kemira.com/,23,1,1,0,0,5,727,0,1,0,1,3649,FirmSize.LARGE_FIRM
The Boeing Company,The Boeing Company,18,Boeing - Official Site,22,,boeing.com/,22,1,1,0,0,5,1333,1,1,0,2,2752,FirmSize.LARGE_FIRM
Alexion Pharmaceuticals,Alexion Pharmaceuticals,23,Alexion - Official Site,23,,alexion.com/,19,1,1,0,0,5,91,0,0,1,1,2760,FirmSize.LARGE_FIRM
FLIR Systems,FLIR Systems,12,FLIR Systems - Official Site,28,,flir.com/,21,1,2,0,0,5,479,1,0,0,1,2870,FirmSize.LARGE_FIRM
Riverbed Technology,Riverbed Technology,19,Riverbed - Official Site,24,,riverbed.com/,25,1,1,0,0,5,1086,1,0,0,1,2786,FirmSize.LARGE_FIRM
R.J. Reynolds Tobacco Company,RJ Reynolds Tobacco Company,27,R. J. Reynolds Tobacco Company - Official Site,46,,rjrt.com/,20,1,3,0,0,5,1054,0,1,0,1,4000,FirmSize.LARGE_FIRM
Murata Manufacturing Co.,Murata Manufacturing Co,23,Murata Manufacturing - Official Site,36,,murata.com/,23,1,2,0,0,5,859,1,1,0,2,67652,FirmSize.LARGE_FIRM
Cree,Cree,4,Cree Inc. - Official Site,25,,cree.com/,21,1,1,0,0,5,350,1,1,0,2,6387,FirmSize.LARGE_FIRM
Renesas Electronics Corporation,Renesas Electronics,19,Renesas Electronics,19,,renesas.com/en-us/,30,1,2,0,0,5,1070,1,0,0,1,20405,FirmSize.LARGE_FIRM
Cabot Corporation,Cabot,5,Cabot Corporation - Official Site,33,,cabotcorp.com/,25,1,1,1,0,5,274,1,0,0,1,3097,FirmSize.LARGE_FIRM
Milliken & Company,Milliken & Company,18,Milliken & Company - Official Site,34,,milliken.com/,24,1,2,0,0,5,840,1,0,0,1,3950,FirmSize.LARGE_FIRM
Atrium Medical Corporation,Atrium Medical,14,Atrium Med - Official Site,26,,atriummed.com/,25,1,1,0,0,5,155,0,0,1,1,65000,FirmSize.LARGE_FIRM
First Solar,First Solar,11,First Solar - Official Site,27,,firstsolar.com/,26,1,2,0,0,5,499,1,1,0,2,6350,FirmSize.LARGE_FIRM
Fairchild Semiconductor Corporation,Fairchild Semiconductor,23,ON Semiconductor - Official Site,32,,onsemi.com/,22,1,1,0,0,5,487,0,1,0,1,7690,FirmSize.LARGE_FIRM
DRS Network & Imaging Systems,DRS Network & Imaging Systems,29,Welcome to LeonardoDRS.com | Leonardo DRS,41,,leonardodrs.com/,23,1,1,1,0,5,376,1,0,0,1,3682,FirmSize.LARGE_FIRM
Sick AG,Sick AG,7,SICK Germany | SICK,19,,sick.com/de/en/,27,1,1,0,0,5,1189,1,0,0,1,8800,FirmSize.LARGE_FIRM
TMC Corporation,TMC,3,Turner Classic Movies - Official Site,37,,tcm.com/,19,1,0,0,0,5,1297,0,1,0,1,46968,FirmSize.LARGE_FIRM
Johnson & Johnson Vision Care,Johnson & Johnson Vision Care,29,The Magic of Our Eyes | Johnson and Johnson Vision,50,,jjvision.com/,25,1,3,0,0,5,700,1,0,0,1,3891,FirmSize.LARGE_FIRM
Qiagen GmbH,Qiagen,6,Qiagen - Official Site,22,,qiagen.com/us/,26,1,1,0,0,5,1045,0,0,1,1,3828,FirmSize.LARGE_FIRM
UChicago Argonne,UChicago Argonne,16,"UChicago Argonne, LLC.",22,,uchicagoargonnellc.org/,30,1,2,0,0,5,1390,1,1,0,2,3807,FirmSize.LARGE_FIRM
Chevron Phillips Chemical Company LP,Chevron Phillips Chemical Company LP,36,Chevron Phillips Chemical - Official Site,41,,cpchem.com/,18,1,3,0,0,5,310,1,0,1,2,5000,FirmSize.LARGE_FIRM
BlackBerry Limited,BlackBerry Limited,18,"BlackBerry - Cell Phones, Smartphones & Mobile Phones from ...",62,,blackberry.com/,26,1,1,0,0,5,232,1,1,0,2,3910,FirmSize.LARGE_FIRM
Bemis Company,Bemis Company,13,Bemis Company - Official Site,29,,bemis.com/,21,1,2,0,0,5,210,1,0,0,1,16582,FirmSize.LARGE_FIRM
PACCAR Inc,PACCAR,6,Paccar - Official Site,22,,paccar.com/,22,1,1,0,0,5,966,1,0,0,1,25000,FirmSize.LARGE_FIRM
Cypress Semiconductor Corp.,Cypress Semiconductor Corp,26,Cypress Semiconductor - Official Site,37,,cypress.com/,23,1,2,0,0,5,364,1,0,0,1,6099,FirmSize.LARGE_FIRM
Sun Chemical Corporation,Sun Chemical,12,Sun Chemical - Official Site,28,,sunchemical.com/,27,1,2,0,0,5,1260,1,1,1,3,19350,FirmSize.LARGE_FIRM
Battelle Memorial Institute,Battelle Memorial Institute,27,Battelle - Official Site,24,,battelle.org/,25,1,1,0,0,5,200,1,1,0,2,7356,FirmSize.LARGE_FIRM
Nalco Company,Nalco Company,13,Reinventing the Way Water is Managed - ecolab.com,49,,ecolab.com/nalco-water,34,1,0,0,0,5,875,0,1,1,2,48400,FirmSize.LARGE_FIRM
LG Display Co.,LG Display Co,13,LG Display,10,,lgdisplay.com/eng/main,33,1,2,0,0,5,747,1,1,0,2,4584,FirmSize.LARGE_FIRM
Sigma-Aldrich Co. LLC,Sigma-Aldrich Co,16,"Sigma-Aldrich: Analytical, Biology, Chemistry & Materials ...",61,,sigmaaldrich.com/,29,1,2,0,0,5,1198,0,0,1,1,4408,FirmSize.LARGE_FIRM
PolyOne Corporation,PolyOne,7,PolyOne - Official Site,23,,polyone.com/,23,1,1,0,0,5,1022,0,0,1,1,6000,FirmSize.LARGE_FIRM
Dresser-Rand Company,Dresser-Rand Company,20,Dresser-Rand Group - Official Site,34,,dresser-rand.com/,28,1,2,0,0,5,412,0,1,0,1,4597,FirmSize.LARGE_FIRM
Intuitive Surgical Operations,Intuitive Surgical Operations,29,Intuitive Surgical - Official Site,34,,intuitive.com/,26,1,2,0,0,5,682,0,0,1,1,4719,FirmSize.LARGE_FIRM
INVISTA North America S.a.r.l.,INVISTA North America Sarl,26,Invista - Official Site,23,,invista.com/,24,1,1,0,0,5,642,0,0,1,1,4658,FirmSize.LARGE_FIRM
VIASAT INC.,VIASAT,6,"Viasat, Inc. - Official Site",28,,viasat.com/,22,1,1,1,0,5,1412,1,0,0,1,4950,FirmSize.LARGE_FIRM
Carestream Health,Carestream Health,17,Carestream Medical and Healthcare Information Technology,56,,carestream.com/en/us,32,1,2,0,0,5,289,1,0,0,1,3650,FirmSize.LARGE_FIRM
Hitachi,Hitachi,7,Hitachi - Official Site,23,,hitachi.com/,23,1,1,0,0,5,613,1,1,1,3,319566,FirmSize.LARGE_FIRM
Pegatron Corporation,Pegatron,8,www.pegatroncorp.com,20,,pegatroncorp.com/,28,1,1,0,0,5,990,1,0,1,2,91797,FirmSize.LARGE_FIRM
Novozymes A/S,Novozymes A/S,13,Novozymes - Official Site,25,,novozymes.com/,26,1,3,0,0,5,931,0,0,1,1,6386,FirmSize.LARGE_FIRM
Novozymes Inc.,Novozymes,9,Novozymes - Official Site,25,,novozymes.com/,26,1,1,0,0,5,932,0,0,1,1,6386,FirmSize.LARGE_FIRM
Celanese Corporation,Celanese,8,Celanese - Official Site,24,,celanese.com/,25,1,1,0,0,5,298,0,0,1,1,7592,FirmSize.LARGE_FIRM
Celanese International Corporation,Celanese,8,Celanese - Official Site,24,,celanese.com/,25,1,1,0,0,5,299,0,0,1,1,7592,FirmSize.LARGE_FIRM
Amkor Technology,Amkor Technology,16,Amkor Technology - Official Site,32,,amkor.com/,18,1,2,0,0,5,111,1,1,0,2,25100,FirmSize.LARGE_FIRM
Illinois Tool Works,Illinois Tool Works,19,ITW - Official Site,19,,itw.com/,19,1,0,0,0,5,647,1,0,1,2,50000,FirmSize.LARGE_FIRM
Abengoa Bioenergy New Technologies,Abengoa Bioenergy New Technologies,34,Abengoa - Official Site,23,,abengoa.com/,23,1,1,0,0,5,53,0,1,0,1,5799,FirmSize.LARGE_FIRM
SanDisk Technologies LLC,SanDisk Technologies,20,SanDisk - Official Site,23,,sandisk.com/,24,1,1,0,0,5,1148,1,0,1,2,8790,FirmSize.LARGE_FIRM
Arkema Inc.,Arkema,6,Arkemas international website  Arkema.com,41,,arkema.com/en/,26,1,1,0,0,5,140,0,1,1,2,19390,FirmSize.LARGE_FIRM
Microchip Technology Incorporated,Microchip Technology,20,Microchip Technology - Official Site,36,,microchip.com/,26,1,2,0,0,5,833,1,0,0,1,14234,FirmSize.LARGE_FIRM
Stora Enso Oyj,Stora Enso Oyj,14,Home I Stora Enso,17,,storaenso.com/,26,1,2,0,0,5,1252,1,0,0,1,25657,FirmSize.LARGE_FIRM
Cadence Design Systems,Cadence Design Systems,22,Cadence Design Systems - Official Site,38,,cadence.com/,24,1,3,0,0,5,275,0,0,1,1,7094,FirmSize.LARGE_FIRM
Cornell Research Foundation,Cornell Research Foundation,27,Research | Cornell University,29,,cornell.edu/research/,32,1,2,0,0,5,346,1,0,1,2,15986,FirmSize.LARGE_FIRM
Bausch & Lomb Incorporated,Bausch & Lomb,13,Bausch & Lomb - Official Site,29,,bausch.com/,22,1,2,0,0,5,201,0,0,1,1,11500,FirmSize.LARGE_FIRM
KLA-Tencor Corporation,KLA-Tencor,10,KLA-Tencor - Official Site,26,,kla-tencor.com/,27,1,2,0,0,5,708,1,0,0,1,6966,FirmSize.LARGE_FIRM
Johnson Matthey PLC,Johnson Matthey PLC,19,Johnson Matthey - Official Site,31,,matthey.com/,20,1,2,0,0,5,702,1,0,1,2,12327,FirmSize.LARGE_FIRM
Bio-Rad Laboratories,Bio-Rad Laboratories,20,Bio-Rad Laboratories - Official Site,36,,bio-rad.com/,23,1,3,1,0,5,217,0,0,1,1,7053,FirmSize.LARGE_FIRM
Agilent Technologies,Agilent Technologies,20,"Chemical Analysis, Life Sciences, and Diagnostics | Agilent",59,,agilent.com/,24,1,1,0,0,5,81,1,0,0,1,13500,FirmSize.LARGE_FIRM
Janssen Biotech,Janssen Biotech,15,Pharmaceutical Companies of Johnson & Johnson | Janssen,55,,janssen.com/,24,1,1,0,0,5,697,0,0,1,1,17858,FirmSize.LARGE_FIRM
Mediatek Inc.,Mediatek,8,MediaTek - Official Site,24,,mediatek.com/,25,1,1,0,0,5,819,1,0,0,1,40749,FirmSize.LARGE_FIRM
Biocon Limited,Biocon Limited,14,Biocon - Official Site,22,,biocon.com/,23,1,1,0,0,5,220,0,0,1,1,9764,FirmSize.LARGE_FIRM
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,25,Regeneron - Official Site,25,,regeneron.com/,26,1,1,1,0,5,1067,0,0,1,1,7976,FirmSize.LARGE_FIRM
Los Alamos National Security,Los Alamos National Security,28,Los Alamos National Security,28,,lansllc.com/,23,1,4,0,0,5,776,1,1,0,2,8066,FirmSize.LARGE_FIRM
Honda Motor Co.,Honda Motor Co,14,American Honda Motor Company - Official Site,44,,honda.com/,22,1,3,0,0,5,619,1,1,0,2,27500,FirmSize.LARGE_FIRM
Lam Research Corporation,Lam Research,12,Lam Research - Official Site,28,,lamresearch.com/,28,1,2,0,0,5,755,1,0,0,1,9400,FirmSize.LARGE_FIRM
Andritz Inc.,Andritz,7,ANDRITZ GROUP,13,,andritz.com/group-en,32,1,1,0,0,5,116,0,1,0,1,15075,FirmSize.LARGE_FIRM
United Technologies Corporation,United Technologies,19,United Technologies - Official Site,35,,utc.com/,19,1,2,0,0,5,1403,1,1,1,3,204700,FirmSize.LARGE_FIRM
ServiceNow,ServiceNow,10,ServiceNow - Official Site,26,,servicenow.com/,27,1,1,0,0,5,1180,0,0,1,1,6111,FirmSize.LARGE_FIRM
Freescale Semiconductor,Freescale Semiconductor,23,NXP Semiconductors - Official Site,34,,nxp.com/,20,1,1,0,0,5,507,1,0,1,2,30100,FirmSize.LARGE_FIRM
NEC Corporation,NEC,3,NEC - Official Site,19,,nec.com/,20,1,1,0,0,5,866,1,1,0,2,100914,FirmSize.LARGE_FIRM
Osram Sylvania Inc.,Osram Sylvania,14,SYLVANIA Innovative LED and traditional lighting products,57,,sylvania.com/,24,1,1,1,0,5,962,1,0,0,1,8586,FirmSize.LARGE_FIRM
Eastman Chemical Company,Eastman Chemical Company,24,Eastman Chemical Company - Official Site,40,,eastman.com/Pages/Home.aspx,39,1,3,0,0,5,433,1,1,1,3,14000,FirmSize.LARGE_FIRM
Dana Corporation,Dana,4,Dana Incorporated - Official Site,33,,dana.com/,20,1,1,0,0,5,380,0,1,1,2,27500,FirmSize.LARGE_FIRM
Bayer Materialscience LLC,Bayer Materialscience,21,Bayer - Official Site,21,,bayer.com/,22,1,1,0,0,5,205,0,0,1,1,3,FirmSize.MICRO_FIRM
DePuy Synthes Products,DePuy Synthes Products,22,Innovative Medical Devices & Solutions | DePuy Synthes ...,58,,depuysynthes.com/,29,1,2,0,0,5,384,0,0,1,1,7610,FirmSize.LARGE_FIRM
UOP LLC,UOP,3,University of Phoenix - Official Site,37,,phoenix.edu/,24,1,0,0,0,5,1392,1,1,0,2,9081,FirmSize.LARGE_FIRM
S. C. Johnson & Son,S C Johnson & Son,17,SC Johnson - Official Site,26,,scjohnson.com/,26,1,4,0,0,5,1104,0,0,1,1,9946,FirmSize.LARGE_FIRM
S.C. Johnson & Son,SC Johnson & Son,16,SC Johnson - Official Site,26,,scjohnson.com/,26,1,3,0,0,5,1105,0,0,1,1,9946,FirmSize.LARGE_FIRM
Smith & Nephew,Smith & Nephew,14,Smith & Nephew - Official Site,30,,smith-nephew.com/,28,1,2,0,0,5,1219,1,0,0,1,15000,FirmSize.LARGE_FIRM
Analog Devices,Analog Devices,14,Analog Signals - Analog Devices,31,,analog.com/en/index.html,36,1,2,0,0,5,115,1,0,0,1,15300,FirmSize.LARGE_FIRM
Sanofi,Sanofi,6,"Sanofi, a global biopharmaceutical company focused on ...",57,,sanofi.com/en/,26,1,1,0,0,5,1152,1,0,1,2,106566,FirmSize.LARGE_FIRM
Genzyme Corporation,Genzyme,7,Genzyme - Official Site,23,,sanofigenzyme.com/,30,1,1,0,0,5,554,1,0,1,2,10453,FirmSize.LARGE_FIRM
