compare_organization,lower_url,0
abbott molecular inc.,www.abbott.com,2
"advanced ceramic fibers, llc",www.acfibers.com,1
"applied nanostructures, inc.",www.appnano.com,1
"asm america, inc.",www.asm.com,1
"aurrion, inc.",http://www.aurrion.com,1
"aushon biosystems, inc.",http://www.aushon.com,1
avery dennison corporation,http://www.averydennison.com/en/home.html,2
avery dennison corporation,www.averydennison.com,2
"becton, dickinson and company",http://www.bdbiosciences.com/,2
"bionano genomics, inc.",https://www.bionanogenomics.com,1
brother international corporation,http://www.brother.com,4
"carver scientific, inc.",http://www.carversci.com,3
"cavium, inc.",http://www.caviumnetworks.com,1
clearsign combustion corporation,http://www.clearsigncombustion.com,1
"complete genomics, inc.",http://www.completegenomics.com,2
crystal solar inc.,www.xtalsolar.com,1
"daylight solutions, inc.",http://www.daylightsolutions.com,1
"dcg systems, inc.",http://www.fei.com/,1
"delta electronics, inc.",http://www.deltaelectronics.com,1
"dhpc technologies, inc.",http://www.dhpctech.com,2
"electronic warfare associates, inc.",http://www.ewa.com,1
"element one, inc.",http://www.elem1.com,1
"everspin technologies, inc.",http://www.everspin.com,4
"fenwal, inc.",http://www.fenwalinc.com,1
fike corporation,http://www.fike.com,1
finisar corporation,http://www.finisar.com,1
fluidigm corporation,www.fluidigm.com,1
honeywell international inc.,https://www.bendixking.com,4
ideal power inc.,www.idealpower.com,1
imds corporation,http://www.imds-ohio.com,1
"imra america, inc.",http://www.imra.com,2
inview technology corporation,www.inviewcorp.com,1
"k-space associates, inc.",http://www.k-space.com,1
kodak alaris inc.,www.kodakalaris.com,1
"kulite semiconductor products, inc",http://www.kulite.com,1
"liquid x printed metals, inc.",www.liquid-x.com,1
luna innovations incorporated,http://www.lunainc.com,1
"microchips biotech, inc.",http://www.microchipsbiotech.com/,1
"monosol, llc",http://www.terraloc.com/,2
"moxtek, inc.",http://www.moxtek.com,1
nanobio corporation,http://www.nanobio.com,1
"nanomech, inc.",www.nanomech.com,8
"nanoridge materials, inc.",http://www.nanoridge.com,1
"nanospectra biosciences, inc.",www.nanospectra.com,1
"nantero, inc.",www.nantero.com,4
"oceanit laboratories, inc.",http://www.oceanit.com,1
"ofs fitel, llc",http://www.specialtyphotonics.com,1
optodot corporation,http://www.optodot.com,1
"pacific biosciences of california, inc.",www.pacb.com,16
"princeton optronics, inc.",princetonoptronics.com,2
"propagation research associates, inc.",http://pra-corp.com/,1
quallion llc,http://www.quallion.com,1
quantumscape corporation,http://www.quantumscape.com,3
selas heat technology company llc,www.selas.com,1
"selecta biosciences, inc.",http://www.selectabio.com,4
sensor-kinesis corporation,sensor-kinesis.com,2
"siemens energy, inc.",www.siemens.com,2
"teledyne scientific & imaging, llc",http://www.optimumopticalsystems.com,1
"triple ring technologies, inc.",http://www.tripleringtech.com,1
vindico nanobio technology inc.,http://www.vindicopharma.com,1
"voxtel, inc.",https://www.voxtel-inc.com,2
"wentworth laboratories, inc.",https://www.wentworthlabs.com,1
wyatt technology corporation,http://www.wyatt.com,1
"ziptronix, inc.",http://www.ziptronix.com,1
zygo corporation,http://www.zygo.com,4
