firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
Sunlight Photonics Inc.,sunlightphotonics.com/,6,https://www.linkedin.com/company/sunlight-photonics,Sunlight Photonics,0
Sunrun South LLC,sunrun.com/,2704,https://www.linkedin.com/company/sunrun,Sunrun,6
Supremex Inc.,supremex.com/,240,https://www.linkedin.com/company/supremex-inc.,SupremeX Inc.,6
Surebeam Corporation,smebeam.com/,3,https://www.linkedin.com/company/surebeam-me,SureBeam ME,4
Swagelok Company,swagelok.com/,21,https://www.linkedin.com/company/h-e-lennon-inc-,Swagelok Michigan,8
Symantec Corporation,symantec.com/,24322,https://www.linkedin.com/company/symantec/jobs,Symantec: Jobs,6
Syngenta Participations AG,syngenta.com/,24314,https://www.linkedin.com/company/syngenta,Syngenta,18
TEKNOR APEX COMPANY,teknorapex.com/,761,https://www.linkedin.com/company/teknor-apex-company,Teknor Apex Company,14
TMC Corporation,tcm.com/,3742,https://www.linkedin.com/company/tmc,TMC,0
TRIDONIC GMBH & CO KG,tridonic.com/com/en/,623,https://www.linkedin.com/company/tridonic,Tridonic,15
Takara Bio Inc.,takarabio.com/,78,https://www.linkedin.com/company/takara-bio-europe,Takara Bio Europe,7
Takeda Pharmaceutical Company Limited,takeda.com/,966,https://www.linkedin.com/company/takeda-pharmaceutical-company-ltd,Takeda Pharmaceutical Company Ltd,6
Tamura Corporation,tamuracorp.com/,32,https://www.linkedin.com/company/tamura-corporation-of-america,Tamura Corporation of America,23
Tanaka Kikinzoku Kogyo K.K.,gold.tanaka.co.jp/english/,19,https://www.linkedin.com/company/tanaka-kikinzoku-kogyo-k-k,TANAKA KIKINZOKU KOGYO K K,19
Tata Consultancy Services Limited,tcs.com/,375058,https://www.linkedin.com/company/tata-consultancy-services,Tata Consultancy Services,8
Tau Therapeutics LLC,taurx.com/,16,https://www.linkedin.com/company/aprinoia-therapeutics,APRINOIA Therapeutics,21
Texas Instruments Incorporated,ti.com/,25027,https://www.linkedin.com/company/texas-instruments/jobs,Texas Instruments: Jobs,6
The Babcock & Wilcox Company,babcock.com/,8,https://www.linkedin.com/company/babcock-&-wilcox,Babcock & Wilcox,28
The Boeing Company,boeing.com/,2774,https://www.linkedin.com/company/jeppesen,"Jeppesen, a Boeing Company",24
The Eastern Co.,easterncompany.com/,26,https://www.linkedin.com/company/the-eastern-colorado-bank,The Eastern Colorado Bank,11
The Goodyear Tire & Rubber Company,goodyear.com/,19016,https://www.linkedin.com/company/goodyear,The Goodyear Tire & Rubber Company,0
The Iams Company,iams.com/,10,https://www.linkedin.com/company/iams,Iams,16
The Jackson Laboratory,jax.org/,,https://www.linkedin.com/company/the-jackson-laboratory,The Jackson Laboratory,0
The Paymaster Corporation,paymaster.com/,2,https://www.linkedin.com/company/pay-master-international,Pay Master International and ICTcheckoutco.com,44
The Procter & Gamble Company,pg.com/,96392,https://www.linkedin.com/company/procter-and-gamble/jobs,Procter & Gamble: Jobs,28
Thoratec Corporation,thoratec.com/,466,https://www.linkedin.com/company/thoratec,"Thoratec, now a part of St. Jude Medical",32
Thorn Bioscience LLC,thornbioscience.com/,3,https://www.linkedin.com/company/occam-design,Occam Design,15
Tokyo Electron Limited,tel.com/,2347,https://www.linkedin.com/company/tokyo-electron,Tokyo Electron US,7
Tosoh Corporation,tosoh.com/,,https://www.linkedin.com/company/tosohsmd,"Tosoh SMD, Inc.",10
Turf Group LLC,turfgroup.net/,8,https://www.linkedin.com/company/jlipani,J. Lipani Turf Group,20
Turtle Beach Corporation,turtlebeach.com/,175,https://www.linkedin.com/company/turtle-beach,Turtle Beach,0
Two Blades Foundation,2blades.org/,6,https://www.linkedin.com/company/two-blades-foundation,2Blades Foundation,21
Tyco Electronics Corporation,te.com/usa-en/home.html,24356,https://www.linkedin.com/company/te-connectivity,TE Connectivity,12
Tyco Electronics U.K. LTD,te.com/usa-en/home.html,24356,https://www.linkedin.com/company/te-connectivity,TE Connectivity,15
UCB Pharma S.A.,ucb.com/,10397,https://www.linkedin.com/company/ucb-pharma,UCB,10
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,unisantis.com/,,,,
UOP LLC,phoenix.edu/,9263,https://www.linkedin.com/school/university-of-phoenix/,University of Phoenix,20
Unifrax I LLC,unifrax.com/,485,https://www.linkedin.com/company/unifrax-i-llc,Unifrax I LLC,4
Uniseal Solutions Inc.,unisealsolutions.com/,112,https://www.linkedin.com/company/uniseal-inc.,"UNISEAL, Inc.",16
Unistrut International Corp.,unistrut.us/,34,https://www.linkedin.com/company/unistrut-corp,Unistrut Corp,0
United Technologies Corporation,utc.com/,8131,https://www.linkedin.com/company/united-technologies,United Technologies,0
Unity Semiconductor Corporation,unity-sc.com/,21,https://www.linkedin.com/company/unity-semiconductor,Unity Semiconductor,0
Universal Display Corporation,oled.com/,11,https://www.linkedin.com/company/universal-display-&-design,Universal Display,0
VERILY LIFE SCIENCES LLC,verily.com/,497,https://www.linkedin.com/company/verily-life-sciences,Verily Life Sciences,15
VIASAT INC.,viasat.com/,4678,https://www.linkedin.com/company/viasat/jobs,Viasat Inc.: Jobs,16
VIOLIN MEMORY,violinsystems.com/,138,https://www.linkedin.com/company/violin-systems,Violin Systems,12
Vascular BioSciences,vascularbiosciences.com/,11,https://www.linkedin.com/company/vascular-biosciences,Vascular BioSciences,0
Vizio Inc.,vizio.com/,478,https://www.linkedin.com/company/vizio,VIZIO,4
Vorbeck Materials Corporation,vorbeck.com/,30,https://www.linkedin.com/company/vorbeck-materials,Vorbeck,10
WCA Group LLC,wca-group.com/,5,https://www.linkedin.com/company/wca-group,WCA Group,0
WHATSAPP INC.,whatsapp.com/,86,https://www.linkedin.com/company/gaoersi-industry-group,"Gaoersi Industry Group, whatsapp:+86 18906681668",48
Watlow Electric Manufacturing Company,watlow.com/,1122,https://www.linkedin.com/company/watlow,Watlow,31
Wave Energy Conversion Corporation of America,weccamerica.com/,2,https://www.linkedin.com/company/ohmsett,Ohmsett - The National Oil Spill Response Research & Renewable ...,65
Winbond Electronics Corp.,winbond.com/,757,https://www.linkedin.com/company/winbond,Winbond,17
Wyatt Technology Corporation,wyatt.com/,175,https://www.linkedin.com/company/wyatt-technology,Wyatt Technology,0
X DEVELOPMENT LLC,x.org/wiki/Development/,28,https://www.linkedin.com/company/fofx,f(x) Software Development,25
Xerox Corporation,xerox.com/,303,https://www.linkedin.com/company/fuji-xerox-hong-kong,Fuji Xerox (Hong Kong),22
ZIH Corp.,zebra.com/us/en.html/,,https://www.linkedin.com/company/zebra-technologies,Zebra Technologies,17
ZON,zon.si/,12,https://www.linkedin.com/company/zon-technology,ZON Technology,11
Zeno Semiconductor Inc,zenosemi.com/,743,https://www.linkedin.com/company/zeno-group,Zeno Group,13
Zephyr Energy Systems LLC,zephyrenergy.com/,178,https://www.linkedin.com/company/zephyr,Zephyr,15
Zygo Corporation,zygo.com/,374,https://www.linkedin.com/company/zygo-corporation,Zygo Corporation,12
adidas AG,adidas.com/us/,35663,https://www.linkedin.com/company/adidas,adidas,3
fybr,fybr.com/,23,https://www.linkedin.com/company/fybr,Fybr,1
iNanoBio LLC,inanobio.com/,8,https://www.linkedin.com/company/inanobio,INanoBio,1
