,firm_length,first_year,mean_assignees_all,mean_inventors_all,has_emps,has_url,has_web_content,log_num_patents_all,log_max_emps,num_industries
0,20.0,2014.0,1.0,2.0,1.0,1,1,2.70805020110221,6.5998704992128365,1
1,32.0,1999.0,1.01001238645747,3.4364161849711,1.0,1,1,9.178746500385005,11.011951157254613,3
2,18.0,2008.0,1.0,2.3333333333333304,1.0,0,0,1.3862943611198906,2.9444389791664403,1
3,14.0,1984.0,1.06428571428571,1.6,,0,0,4.948759890378168,,1
4,20.0,1984.0,1.08,2.16,1.0,0,0,4.61512051684126,7.684783943522785,1
5,7.0,2016.0,1.0,4.0,,0,0,1.3862943611198906,,1
6,6.0,2000.0,1.00529100529101,2.7830687830687797,1.0,1,0,5.937536205082426,11.517793596367088,1
7,12.0,1994.0,1.01476793248945,3.1529535864978904,1.0,1,1,6.855408798609928,11.811554895830454,1
8,14.0,1989.0,1.00273224043716,2.7477231329690297,1.0,1,1,7.002155954403621,11.811554895830454,1
9,29.0,2007.0,1.01420765027322,3.2262295081967203,1.0,1,1,6.82001636467413,6.561030665896573,2
10,16.0,2014.0,1.16666666666667,3.4166666666666696,1.0,1,1,3.2188758248682006,11.502885230075814,1
11,20.0,2009.0,1.0,3.4896551724137903,,1,1,4.983606621708336,,1
12,6.0,1981.0,1.14620938628159,7.50361010830325,1.0,1,1,6.318968113746434,10.275085591132715,1
13,34.0,2013.0,1.0,2.5,1.0,1,1,2.833213344056216,8.66561319653451,1
14,14.0,2007.0,1.00689655172414,2.83448275862069,,0,0,6.077642243349034,,1
15,7.0,2016.0,1.0,2.0,1.0,1,1,1.0986122886681098,1.0986122886681098,1
16,18.0,2008.0,1.01724137931034,2.8275862068965503,1.0,0,0,4.07753744390572,7.601402334583733,1
17,21.0,1979.0,1.0241758241758199,2.5626373626373598,1.0,1,1,6.1224928095143865,2.4849066497880004,1
18,21.0,2012.0,1.0,2.6666666666666696,1.0,1,1,1.3862943611198906,2.6390573296152584,1
19,21.0,2002.0,1.0044943820224699,3.37752808988764,1.0,1,1,6.100318952020064,7.523481312573497,1
20,7.0,1981.0,1.02105263157895,2.6736842105263197,1.0,1,1,5.25227342804663,6.8966943316227125,1
21,17.0,2008.0,1.0,2.03225806451613,1.0,1,1,3.4657359027997265,2.3978952727983707,1
22,5.0,2003.0,1.0,1.9375,1.0,1,1,3.4965075614664802,5.932245187448011,1
23,4.0,1976.0,1.11348464619493,2.1615487316421897,,1,1,6.620073206530356,,1
24,17.0,1976.0,1.0016764459346201,2.80134115674769,1.0,1,1,7.77779262633883,8.56197533418813,0
25,18.0,1989.0,1.0,2.52564102564103,1.0,1,1,4.3694478524670215,3.9512437185814275,2
26,7.0,1989.0,1.09090909090909,4.65909090909091,1.0,1,1,3.8066624897703196,3.970291913552122,1
27,29.0,2015.0,1.06666666666667,3.6,1.0,1,1,2.772588722239781,5.673323267171493,1
28,11.0,2013.0,1.0,1.14285714285714,1.0,0,0,2.0794415416798357,2.1972245773362196,1
29,5.0,2002.0,1.0,1.625,1.0,1,1,2.1972245773362196,4.795790545596741,1
30,5.0,1980.0,1.08771929824561,3.2385964912280696,1.0,1,1,5.655991810819852,7.8868329989550565,2
31,18.0,1982.0,1.0,2.25,1.0,1,1,3.713572066704308,5.8377304471659395,1
32,9.0,1992.0,1.0,2.42767295597484,1.0,1,0,5.075173815233827,10.948857279808518,1
33,13.0,2012.0,1.0,6.5,,1,1,3.1354942159291497,,1
34,13.0,2003.0,1.0,3.0,1.0,1,0,2.0794415416798357,5.676753802268282,1
