Alcon Inc
Amphenol-Tuchel Electronics GmbH 
Amphion International Limited
Ampholife Technologies Inc
Ampio Pharmaceuticals Inc
Ample Power Company
Amprius Inc
Amrad Corporation Limited 
Amrep Inc
Amsco Incorporated
Amsted Industries Incorporated 
Amsted Rail Company Inc
Amstore Corporation
Amtai Medical Equipment Inc
Amtec Products Incorporated
Amtech Systems LLC
Amtel Inc
Amyris Biotechnologies Inc
Anacomp Corporation
Anacon Inc
Anaconda-Ericsson Inc
Anadarko Petroleum Corporation
Anadigics Inc 
Anadrill Inc
Anadrill Incorporated
Anaergia Inc
Anaerobics Inc
Anaheim Manufacturing Company
Analog Devices Inc
Analog Devices Incorporated
Analog Modules Inc
Analog Technologies Corporation
Analog Technology Corporation
Analogic Corporation 
Analtech Incorporated
Analysis & Measurement Services Corporation
Analysis First LLC
Analysis and Measurement Service Corporation
Analytic Power Corporation
Analytic Systems Laboratories Inc
Analytical Bio-Chemistry Laboratories Inc
Analytical Development Corporation
Analytical Engineering Inc
Analytics Inc
Anam Semiconductor Inc
Anamorphic Ltd
Anaphore Inc
Anarad Inc
Anaren Inc
Anasys Instruments Corp
Anatole J Sipin Company
Anatomic Research Inc
Anatrace Inc
Anchor Advanced Products Inc
Anchor Coupling Co Inc
Anchor Hocking Corporation
Anchor Wall Systems Inc
Anchor Wire Corporation
Ancile Pharmaceuticals
Anda SR Pharmaceuticals Inc
Andalay Solar Inc
Andersen 2000 Inc
Andersen Consulting LLP 
Anderson Bros Mfg Co
Anderson Controls LC
Anderson Power Products
Anderson-Cook Inc
Andiamo Inc
Andrea Electronics Corporation
Andrea Eyewear Inc
Andreae Filters Inc
Andreas Stihl AG & Co KG
Andrene Associates
Andrew Kalotay Associates Inc
Andrew LLC
Andrew Passive Power Products Inc
Andrew Wireless Systems GmbH
Andritz Environmental Solutions
Andritz Inc
Andritz Sprout-Bauer Inc
Andritz-Ahlstrom Oy
Android Industries of Michigan LLC
Andros Analyzers Incorporated
Andros Incorporated
Andrx Corporation
Andrx Labs LLC
Andrx Pharmaceuticals Inc
Andus Corp
Andy River Inc
Aneeve LLC
Anelva Corporation
AnemErgonics LLC
Aneuclose LLC
Anew Green Inc
Angeion Corporation
Angel Echevarria Co Inc
Angel Medical Systems Inc
AngelEye Inc
Angelo Benedetti Inc
Angelo Brother's Company
Angenics Inc
AngioDynamics Inc
AngioTrax Inc
Angiogene Inc 
Angioguard Inc
Angiotech Pharmaceuticals (US) Inc
Angstrom Stage Lighting Inc
Angstrom Systems Inc
Angstron Materials
Anguil Environmental Systems Inc
Anheuser-Busch Incorporated
Anicon Inc
Anima Cell Metrology
Animas Corporation
Animoto Inc
Anki Inc
Anlinx
Ann Arbor Machine Company
Annam Biosciences LLC
Annwil Inc
Anorad Corporation
Anormed Inc
Anpec Electronics Corporation
Anritsu Company
Anritsu Corporation
Anro Engineering Inc
Ansaldo STS USA Inc
Ansell Healthcare Products LLC
Ansible Inc
Anspack Inc
Ansun Biopharma Inc
Answer Products Inc
Antares Pharma Inc
Antares conTech Inc
Antelope Oil Tool & Mfg Co LLC
Antenna Products Corp
Anteos Inc
Anterios Inc
Anthony Company
Anthony Inc
Anthony Industries Inc
Anthony International
Anthony Manufacturing Corp
Anthony Mfg Corp
Anthony's Manufacturing Company Inc
Anthrogenesis Corporation
Anthrotronix Inc
Anti-Gene Development Group
Anti-P Inc
Anti-Pollution Systems Inc
Anticancer Inc
Anticline Disposal LLC
Antioxidant Pharmaceuticals Corporation
Antique Books Inc
Antivirals Inc
Anton/Bauer Inc
Antone Wireless Corporation
Antrim Design Systems Inc
Anulex Technologies Inc
Anybots Inc
Aopen Inc
ApaTech LTD
Apacewave Technologies Corporation
Apache Building Products Company
Apache River LLC
Apath LLC
Apel Education Consultancy LLC
Apeldyn Corporation
Apert-Herzog Corporation
Apex Hydro Jet LLC
Apex Medical Technologies Inc
Apherma Corporation
Aphex Systems Ltd
Aphios Corporation 
Apical Industries Inc
Apicomplexan Therapeutics LLC
Apio Inc
Aplex Group
Aplix Inc
Aplus Flash Technology Inc
Apogee Power Inc
Apollo Camera LLC
Apollo Chemical Corporation
Apollo Coating Technologies Inc
Apollo Design Technology Inc
Apollo Diamond Inc
Apollo Endosurgery Inc
Apollo Energy Systems Inc
Apollo Technologies Inc
Apollon Inc 
Apoptosis Technology Inc
AppDynamics Inc
Appalachian Lighting Systems Inc
Appalachian Stove & Fabricators Inc
Apparent Energy Inc
Apperian Inc
Appian Corporation
Apple Computer Inc
Apple Inc
Applera Corporation
Appleton Papers Inc
Appliance Development Corp 
Applica Consumer Products Inc
Applied Automation Inc
Applied Biochemists Inc
Applied Biomedical Corporation
Applied Biorefinery Sciences LLC
Applied Biosystems LLC
Applied Biotechnology Institute
Applied Ceramics Inc
Applied Chemical Technologies Inc
Applied Cleantech Inc
Applied Colloids Inc
Applied Concepts Inc
Applied Diesel Engineering Inc 
Applied Digital Solutions
Applied Dynamic Research Inc
Applied Electro Mechanics Inc 
Applied Electroless Concepts Inc
Applied Energetics Inc
Applied Extrusion Technologies Inc
Applied FT Composite Solutions
Applied Filter Technology Inc
Applied Genetic Technologies Corporation
Applied Genetics Incorporated Dermatics
Applied Genomics Inc
Applied Imaging Corp
Applied Industrial Materials Corporation - AIMCOR
Applied Innovations Inc
Applied Innovative Technologies Inc
Applied Lighting Solutions LLC
Applied Magentics Corporation
Applied Materials Inc
Applied Membrane Technologies Inc
Applied Micro Circuits Corporation
Applied MicroCircuits Corp
Applied MicroStructures Inc
Applied Microwave Plasma Concepts Inc 
Applied Molecular Evolution Inc
Applied Nano Structured Soultions LLC
Applied NanoStructured Solutions LLC
Applied Nanostructures Inc
Applied Nanotech Holdings Inc
Applied Optoelectronics Inc
Applied Optronics Corporation
Applied Perception Inc
Applied Photonics Research Inc
Applied Photonics Worldwide Inc
Applied Physics Laboratories LLC
Applied Phytologics Inc
Applied Power Inc
Applied Precision LLC
Applied Regenerative Tech Co Inc
Applied Research Associates Inc
Applied Research Commodities Industries Inc
Applied Research Systems ARS Holding NV
Applied Research and Technology Inc
Applied Science & Technology
Applied Science and Technology Inc
Applied Sciences Inc
Applied Semiconductor Inc
Applied Sensor Research & Development
Applied Solar Energy Corporation
Applied Technologies Associates
Applied Thermal Systems Inc
Applied Thin Films Inc
Applied Vascular Engineering Inc
Applied Voice & Speech Technologies Inc
Applied WDM Inc
Applied Web Systems Inc
Appliedus Corporation
Appropriate Innovative Technologies Inc
Appthority Inc
Appvion Inc
Aprilis Inc
Aprio Technologies Inc
Aprisma Management Technologies Inc
Apsara Medical Corporation
Aptech Engineerig Services Inc
Aptek Industries Inc
Aptek Williams Inc
Apteryx Inc
Aptina Imaging Corporation
Aqua - Aerobic Systems Inc
Aqua Dynamics Inc
Aqua Flow Technologies LLC
Aqua Partners Ltd
Aqua Products Inc
Aqua Resources Corporation
Aqua Ultraviolet
Aqua-Aerobic Systems Inc
Aqua-Chem Inc
Aqua-Envirotech Mfg Inc
Aqua-Flo Incorporated
Aqua-Leisure Industries Inc
Aqua-Norus® Corp
Aqua-Nova LLC
Aqua-Tronics Inc
AquaFiber Technologies Corp
AquaShield Inc
Aquafilter Corporation
Aquafine Corporation
Aquaflow Technologies LLC
Aquaform Inc
Aqualon Company
Aquanon Corp
Aquantia Corporation
Aquaria Inc
Aquarian Accessories Corporation
Aquarium Pharmaceuticals Inc
Aquarium Stock Company Inc
Aquarium Systems Inc
Aquarius Environmental Technologies Ltd
Aquarius Technologies Inc
Aquatech International Corporation
Aquatechnology Resource Management Inc
Aquatex Industries Inc
Aquatic Amusement Associates Ltd
Aquion Energy Inc
Aquitic Technology Inc
Aquology Corporation
ArQule Inc
Arabella Software Ltd
Araco Kabushiki Kaisha
Aram Novikov
Aramis Inc
Arborgen LLC
Arcadia Biosciences Inc
Arcair Company
Arcaris Inc
Arch Biosurgery Inc
Arch Specialty Chemicals Inc
Archer Aire Industries Inc
Archer Daniels Midland Company
Archetype Technologies Inc
Archimedes Technology Group Inc
Archion Inc
Architecture Technology Corporation
Archive Corporation
Arco Chemical Technology LP
Arco Environmental Company
Arco Solar Inc
Arctech Inc
Arctic Cat Inc
Arcturus Therapeutics Inc
Arcus Technology Inc
Arden Systems Inc
Ardent Concepts Inc
Ardian Inc
Areadis G&M
Areesys Technologies Inc
Areva NC
Areva NP
Areva NP GmbH
Areva NP Inc
Areva Solar Inc
Argent Electric Inc
Argent International Inc
Argentum Medical LLC
Argon Medical Devices Inc
Argon ST
Argonne National Laboratory
Argopower LLC
Argosy Electronics
Argus Chemical Corporation
Argylla Technologies
Aria Innovations Inc
Arichell Technologies Inc
Aries Electronics Inc
Arisaph Pharmaceuticals Inc
Arista Enterprises Inc
Aristech Chemical Corp 
Aristotlenet Inc
Arithmos Inc 
Arizant Healthcare Inc
Arizona Board of Regents A Corporate Body Organized Under Arizona Law Acting on Behalf of Arizona State University
Arizona Board of Regents Acting for and on behalf of Arizona State University A Corporate Body Organized under Arizona Law
Arizona Board of Regents Acting for and on behalf of Northern Arizona University
Arizona Board of Regents For and on Behalf of Arizona State University
Arizona Board of Regents a Body Corporate of the State of Arizona
Arizona Board of Regents a body coporate acting for and on behalf of Arizona State University
Arizona Board of Regents a body corporate of the State of Arizona Acting for and on behalf of Arizona State University
Arizona Board of Regents acting on behalf of Arizona State University
Arizona Board of Regents for the University of Arizona
Arizona Board of Regents on Behalf of the University of Arizona
Arizona Chemical Company
Arizona Instrument Corporation 
Arizona Medical Systems LLC
Arizona Public Service Company
Arizona State University
Arizona State University Ira A Fulton Schools of Engineering
Arizona Technology Development Corporation
Arjae Spectral Enterprises
Arkansas Power Electronics International Inc
Arkansas Reclamation Company LLC
Arkay Corporation of Wisconsin
Arkay Packaging Corporation
Arkema Inc
Arken Inc
Arkion Life Sciences LLC
Arkival Technology Corp
Arkray Inc
Arkwright Incorporated
Armacell Enterprise GmbH
Armament Systems and Procedures
Armas & Harshbarger Manufacturing Co
Armatec Inc
Armature Coil Equipment Inc
Armco Advanced Materials Corporation
Armco Inc
Armco Steel Company LP
Armco Steel Corporation
Armor Elevator Company Inc
Armour Pharmaceutical Company
Armron Corporation
Armstrong Cork Company
Armstrong World Industries Inc
Armtec Inc
Arneson Products Inc
Arnold Industries Inc
Arpin Renewable Energy LLC
Array Bioscience Corporation
Array Converter Inc
Array Technology Corporation
Arraycomm Incorporated
Arrayed Fiberoptics Corporation
Arrhythmia Research Technology Inc
Arrington Co Inc
Arris International Inc
Arrow Art Finishers LLC
Arrow Communication Laboratories Inc
Arrow Pneumatics Inc
Arrowhead Center Inc
Arrowhead Madison Inc
Arrowhead Pharmaceuticals Inc
Arrowhead Research Corporation
Arrowswift Inc
Arroyo Optics Inc
Arryx Inc
Art Kraft Container Corporation
Artecel Science Inc
Artemis Rubber Technology Inc
Arteriocyte Inc
Artesyn Technologies Inc
Arteva North America SARL 
ArthoCare Corporation
Arthrex Inc
ArthroCare Corporation
Arthur D Little Enterprises Inc
Arthur D Little Inc
Arthur G McKee & Company
Artisan Components Inc
Artled Technology Corp
Artsana SpA
Artscape Inc
Aruba Networks Inc
Aruze Corporation
ArvinMeritor Technology LLC
Arysta LifeScience North America LLC
As We Grow LLC
Asahi Kasei Kabushiki Kaisha
Asahi Tec Corporation
Asarco Incorporated
Ascend Visual System Inc
Ascom Hasler Mailing Systems Inc
Asea Brown Boveri Ltd
Asec Manufacturing General Partnership
Asemblon Inc
Aseptia Inc
Ash Grove Cement Company
Ash Improvement Technology Inc
Ash Medical Systems Inc
Ashbrook Corporation
Ashbrook Simon-Hartley LP
Ashbrook Simon-Hartley Operations LP
Ashbrook-Simon-Hartley Corporation
Ashco-A-Corporation
Ashcroft Inc
Ashland Inc
Ashland Licensing and Intellectual Property LLC
Ashland Petroleum Company division of Ashland Oil Inc
Ashland Products Company
Ashland Technologies Inc 
Ashley-Butler Inc
Ashman Technologies
Ashwin-Ushas Corporation Inc
Asia Pacific Environmental Technology Inc
Asia Vital Components Co Ltd
Asian Micro Sources Inc
Asics Corporation
AskMe Corporation
Asklepios Biopharmaceutical Inc
Asklêpios Biopharmaceutical Inc
Asoka USA Corporation
Aspec Technology Inc
Aspect Communications
Aspect Medical Systems Inc
Aspen Aerogels Inc
Aspen Electronics Inc
Aspen Products Group Inc
Asphalt Recycling Systems Incorporated
Assa Group Inc
Assembled Products Corporation
Assessment Systems Inc
Assistance Pulique-Hôpitaux de Paris
Associated Equipment Corporation
Associated Mechanical Contractors Inc
Associated Mills Inc
Associated Synapse Biologics
Associated Universities Inc
Associates of Cape Cod Inc 
Associative Computing Ltd
Astec Industries Inc
Astec International Limited
Astec USA (HK) Limited
Astech Inc
Asten Group Inc
Asten Inc
Asten Johnson Inc
AstenJohnson Inc
Astex Pharmaceuticals Inc
Aston Evaporative Services LLC
Astoria Fibra-Steel Inc
Astoria Industries of Iowa Inc
Astra Pharmaceutical Products Inc
Astra Tech AB
AstraZeneca AB
Astral Communications Inc
Astralux Inc
Astrium SAS
AstroPower Inc
Astrolab Inc
Astronautics Corporation of America
Astrosystems Inc
Astute Frontiers Patent Trust
Asylum Research Corp
Asymptotic Technologies Inc
Asyst Technologies
At Home Corporation
AtComm Corporation
Atara Environmental Inc
Atari Games Corporation
Atari Inc
Athena Biotechnologies Inc
Athena Neurosciences Inc
Athenium LLC
Athenix Corporation
Atheros Communications Inc
Atheros Technology Ltd
Athersys Inc
Atkins & Merrill Inc
Atkins & Pearce Inc
Atlantic Applied Research Corporation
Atlantic City Coin & Slot Service Company Inc
Atlantic Construction Fabrics Inc
Atlantic Fluidics Inc
Atlantic Maintenance of Miami
Atlantic Optical Systems Inc
Atlantic Research Corporation
Atlantic Richfield Company
Atlas Bimetals Labs Inc
Atlas Copco Drilling Solutions Inc
Atlas Insulation Company Inc
Atlas Lighting Products Inc
Atlas Material Testing LLC
Atlas Material Testing Technology GmbH
Atlas Pacific Engineering Company
Atlas Powder Company
Atlas Scientific
Atleisure LLC
Atmel Corporation
Atmos Nation LLC
Atochem North America Inc
Atofina Chemicals Inc
Atohaas Holding CV 
Atom Nanoelectronics Inc
Atoma International Corp
Atomate Corporation
Atomic Energy Council-Institute of Nuclear Energy Research
Atomic Energy of Canada Limited
Atomic Products Corporation
Atomic Telecom
Atos Medical AB
Atotech Deutschland GmbH
